weatherCodes,weather
100,晴れ
101,晴れ、時々くもり
102,晴れ、一時雨
103,晴れ、時々雨
104,晴れ、一時雪
105,晴れ、時々雪
106,晴れ、一時雨か雪
107,晴れ、時々雨か雪
108,晴れ、一時雨か雷雨
110,晴れのち、時々くもり
111,晴れのち、くもり
112,晴れのち、一時雨
113,晴れのち、時々雨
114,晴れのち、雨
115,晴れのち、一時雪
116,晴れのち、時々雪
117,晴れのち、雪
118,晴れのち、雨か雪
119,晴れのち、雨か雷雨
120,晴れ、朝夕は一時雨
121,晴れ、朝の内は一時雨
122,晴れ、夕方は一時雨
123,晴れ、山沿いは雷雨
124,晴れ、山沿いは雪
125,晴れ、午後は雷雨
126,晴れ、昼頃からは雨
127,晴れ、夕方からは雨
128,晴れ、夜は雨
129,晴れ、夜半から雨
130,朝の内は霧、のちに晴れ
131,晴れ、明け方は霧
132,晴れ、朝夕はくもり
140,晴れ時々雨で、雷を伴う
160,晴れ、一時雪か雨
170,晴れ、時々雪か雨
181,晴れのち、雪か雨
200,くもり
201,くもり、時々晴れ
202,くもり、一時雨
203,くもり、時々雨
204,くもり、一時雪
205,くもり、時々雪
206,くもり、一時雨か雪
207,くもり、時々雨か雪
208,くもり、一時雨か雷雨
209,霧
210,くもりのち、時々晴れ
211,くもりのち、晴れ
212,くもりのち、一時雨
213,くもりのち、時々雨
214,くもりのち、雨
215,くもりのち、一時雪
216,くもりのち、時々雪
217,くもりのち、雪
218,くもりのち、雨か雪
219,くもりのち、雨か雷雨
220,くもりで、朝夕は一時雨
221,くもりで、朝の内は一時雨
222,くもりで、夕方は一時雨
223,くもりで、日中は時々晴れ
224,くもりで、昼頃からは雨
225,くもりで、夕方からは雨
226,くもりで、夜は雨
227,くもりで、夜半からは雨
228,くもりで、昼頃からは雪
229,くもりで、夕方からは雪
230,くもりで、夜は雪
231,くもりで、海上海岸は霧か霧雨
240,くもり時々雨で、 雷を伴う
250,くもり時々雪で、 雷を伴う
260,くもりで、一時雪か雨
270,くもりで、時々雪か雨
281,くもりのち、 雪か雨
300,雨
301,雨時々、晴れ
302,雨で、時々止む
303,雨時々、雪
304,雨か雪
306,大雨
307,かぜ、あめどっちも強い
308,雨で、暴風を伴う
309,雨、一時雪
311,雨のち、晴れ
313,雨のち、くもり
314,雨のち、時々雪
315,雨のち、雪
316,雨か雪で、のちに晴れ
317,雨か雪で、のちにくもり
320,朝の内は雨で、のちに晴れ
321,朝の内は雨で、のちくもり
322,雨で、朝晩は一時雪
323,雨で、昼頃からは晴れ
324,雨で、夕方からは晴れ
325,雨で、夜は晴
326,雨で、夕方から雪
327,雨で、夜は雪
328,雨で、一時強く降る
329,雨で、一時みぞれ
340,雪か雨
350,雨で雷を伴う
361,雪か雨で、のちに晴れ
371,雪か雨で、のちにくもり
400,雪
401,雪時々、晴れ
402,雪で時々止む
403,雪時々、雨
405,大雪
406,風雪強い
407,暴風雪
409,雪で、一時雨
411,雪のち、晴れ
413,雪のち、くもり
414,雪のち、雨
420,朝の内は雪で、のちに晴れ
421,朝の内は雪で、のちにくもり
422,雪で、昼頃からは雨
423,雪で、夕方からは雨
424,雪で、夜半からは雨
425,雪で、一時強く降る
426,雪のち、みぞれ
427,雪で、一時みぞれ
450,雪で、雷を伴う
